Altium Designer Pick and Place Locations
C:\Users\yigit\OneDrive\Masaüstü\github\MIL-STD-1275D-protection-board\hardware\altium-project\Project Outputs for MIL_STD_1275D_PROTECTION\Pick Place for MIL_STD_1275D.txt

========================================================================================================================
File Design Information:

Date:       04.07.26
Time:       16:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                                  Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                          
C25        CAP_CER__SMD_22uF                        TopLayer    2_J-LEAD_CAP             88.0110      9.9060       180      "Multilayer Ceramic Capacitor, CKG Series, 22 - F, - 20%, X7S, 100 V, 2220 [5750 Metric]"                            
C24        CAP_CER__SMD_22uF                        TopLayer    2_J-LEAD_CAP             76.0095      9.9060       0        "Multilayer Ceramic Capacitor, CKG Series, 22 - F, - 20%, X7S, 100 V, 2220 [5750 Metric]"                            
C23        CAP_CER__SMD_22uF                        TopLayer    2_J-LEAD_CAP             63.3730      9.9060       180      "Multilayer Ceramic Capacitor, CKG Series, 22 - F, - 20%, X7S, 100 V, 2220 [5750 Metric]"                            
U2         LT4363HS-2#PBF                           TopLayer    LT-S-16_N                116.4460     21.8440      0        "High Voltage Surge Stopper with Current Limit, 4 to 80 V Vin, 16-pin SOP (S-16), -40 to 125 degC, Pb-Free"          
U1         LTC4366                                  TopLayer    TSOT_23                  35.9010      32.1512      0        "Ms-Hot Swap/High Voltage High Voltage Surge Stopper With Auto-Retry"                                                
TP4        575-4                                    TopLayer    KSTN-575-4               11.4300      27.9400      0        "Banana Jack, Non-Insulated, 1-Pin THD, RoHS, Bulk"                                                                  
TP3        575-4                                    TopLayer    KSTN-575-4               143.5100     29.5910      0        "Banana Jack, Non-Insulated, 1-Pin THD, RoHS, Bulk"                                                                  
TP2        575-4                                    TopLayer    KSTN-575-4               143.5100     58.4200      0        "Banana Jack, Non-Insulated, 1-Pin THD, RoHS, Bulk"                                                                  
TP1        575-4                                    TopLayer    KSTN-575-4               11.4300      58.4200      0        "Banana Jack, Non-Insulated, 1-Pin THD, RoHS, Bulk"                                                                  
R32        RES_SMD_1K_0805                          TopLayer    RES_0805                 100.2030     18.6690      90       "Resistor Thick Film 0805 1K Ohm 5% 0.125W (1/8W) ±200ppm/C Molded Surface Mount Paper"                              
R31        THERMISTOR                               TopLayer    THERMISTOR               107.7280     58.9280      180      "Thermistor PTC 100 Ohm 2-Pin Screw Mount Radial Cardboard Strip"                                                    
R30        RES_0805_1K                              TopLayer    RES_0805                 96.9010      17.1450      90       "125mW Thick Film Resistors 150V ±1% ±100ppm/? 1k? 0805 Chip Resistor - Surface Mount ROHS"                          
R29        RES_0805_5.6M                            TopLayer    RES_0805                 125.6030     25.1460      0        "Res Thick Film 0805 5.6M Ohm 5% 0.125W(1/8W) -400ppm/C to 150ppm/C Molded SMD Punched T/R"                          
R28        RES_0805_6.19K                           TopLayer    RES_0805                 122.3010     25.1460      180      "Fixed Resistor, Metal Glaze/Thick Film, 0.125W, 6190ohm, 150V, 1% +/-Tol, Surface Mount, 0805"                      
R27        CRCW080510K0FKEA                         TopLayer    FP-CRCW0805-e3-IPC_A     120.0150     14.3510      180      "RES Thick Film, 10k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                  
R26        CRCW0805100KFKEA                         TopLayer    FP-CRCW0805-e3-MFG       105.0290     17.5260      90       "RES Thick Film, 100k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                 
R25        CRCW080510K0FKEA                         TopLayer    FP-CRCW0805-e3-IPC_A     120.5230     28.8290      180      "RES Thick Film, 10k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                  
R24        CRCW0805100KFKEA                         BottomLayer FP-CRCW0805-e3-MFG       116.4336     23.4442      270      "RES Thick Film, 100k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                 
R23        CRCW0805332KFKEA                         TopLayer    FP-CRCW0805-e3-IPC_B     109.8550     14.3510      180      "RES Thick Film, 332k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                 
R22        CRCW0805301KFKEA                         TopLayer    RESC2013X50X30LL20T20    105.0290     20.7010      90       ""                                                                                                                   
R21        CRCW0805301KFKEA                         TopLayer    RESC2013X50X30LL20T20    100.0760     22.6060      90       ""                                                                                                                   
R20        CRCW0805301KFKEA                         TopLayer    RESC2013X50X30LL20T20    95.3770      22.6060      90       ""                                                                                                                   
R19        CRCW0805332KFKEA                         TopLayer    FP-CRCW0805-e3-IPC_B     116.0780     28.8290      180      "RES Thick Film, 332k?, 1%, 0.125W, 100ppm/°C, 0805"                                                                 
R18        1KR2J                                    TopLayer    RESC0402(1005)_L         108.2730     21.2090      0        "1K 0.063W 5% 0402 (1005 Metric)  SMD"                                                                               
R17        CRCW080510R0JNEA                         TopLayer    FP-CRCW0805-e3-IPC_C     119.4562     52.1208      270      "RES Thick Film, 10?, 5%, 0.125W, 200ppm/°C, 0805"                                                                   
R16        CRCW080510R0JNEA                         TopLayer    FP-CRCW0805-e3-IPC_C     126.6698     58.6740      0        "RES Thick Film, 10?, 5%, 0.125W, 200ppm/°C, 0805"                                                                   
R15        CRCW1210100RJNEAHP                       BottomLayer RESC3225X60X45NL20T20    119.3038     57.2770      90       ""                                                                                                                   
R14        CRCW1206649KFKEA                         TopLayer    FP-CRCW1206-e3-MFG       39.4570      29.9922      90       "RES Thick Film, 649k?, 1%, 0.25W, 100ppm/°C, 1206"                                                                  
R13        22KR2F                                   TopLayer    RESC0402(1005)_L         37.2110      29.0322      90       "22K 0.063W 1% 0402 (1005 Metric)  SMD"                                                                              
R12        22KR2F                                   TopLayer    RESC0402(1005)_L         35.9410      29.0322      90       "22K 0.063W 1% 0402 (1005 Metric)  SMD"                                                                              
R11        22KR2F                                   TopLayer    RESC0402(1005)_L         34.5440      29.0322      90       "22K 0.063W 1% 0402 (1005 Metric)  SMD"                                                                              
R10        12KR2F                                   TopLayer    RESC0402(1005)_L         38.9490      33.0402      90       "12K 0.063W 1% 0402 (1005 Metric)  SMD"                                                                              
R9         "Resistor 10k +/-1% 1206 250 mW"         TopLayer    RESC3216X60X45ML15T20    133.6294     74.8030      270      "Chip Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)"                                        
R8         "Resistor 237K +/-1 % 0402 63 mW"        TopLayer    RESC0402(1005)_L         32.9241      33.6172      270      "Chip Resistor, 237 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402"                                                     
R7         RES_SMD_2K_2010                          TopLayer    RES_2010                 127.9398     75.5396      90       "Res Thick Film 2010 2K Ohm 1% 1W ±100ppm/C Pad SMD T/R Automotive AEC-Q200"                                         
